Depth (m),qc (MPa),fs (kPa),Rf (%),u2 (kPa),gamma (kN/m3),M (MN/m2),OCR (-),su (kPa),sampling_name(-)
10.019999999999998,0.41722222222222227,7.988888888888891,1.9147802929427433,301.72222222222223,17.93,1.6,1.123244929797192,,NGTS_Clay_ONSB04
10.129999999999999,0.4103,7.510000000000001,1.8303680233975141,315.42,17.92,,,25.3,NGTS_Clay_ONSB04
8.969999999999999,0.38099999999999995,6.220000000000001,1.6325459317585307,270.67999999999995,17.09,1,,,NGTS_Clay_ONSB05
9.07,0.39049999999999996,7.660000000000001,1.9615877080665818,276.51000000000005,17.47,,,24.9,NGTS_Clay_ONSB05
9.969999999999999,0.4163,7.92,1.9024741772760028,303.27,17.6,1.6,1.2695924764890283,,NGTS_Clay_ONSB05
10.07,0.4123,7.790000000000001,1.8894009216589864,309.94,17.82,,,26.4,NGTS_Clay_ONSB05
10.969999999999999,0.43390000000000006,8.6,1.9820235077206725,329.31,18.27,1.8,1.1673699015471168,,NGTS_Clay_ONSB05
11.07,0.4292999999999999,7.99,1.8611693454460756,327.0400000000001,18.13,,,25.9,NGTS_Clay_ONSB05
5.67,0.27649999999999997,5.71,2.0650994575045214,198.24,16.29,0.5,,,NGTS_Clay_ONSB06
6.300000000000001,0.3034444444444444,5.833333333333334,1.922372757231784,214.74444444444444,16.03,1.3,1.6756756756756757,,NGTS_Clay_ONSB06
6.3999999999999995,0.30244444444444446,6.033333333333333,1.9948567229977958,216.7,16.22,,,14.8,NGTS_Clay_ONSB06
7.199999999999999,0.3254444444444445,6.699999999999999,2.058723113690679,237.13333333333335,16.48,1.6,1.6513761467889907,,NGTS_Clay_ONSB06
7.299999999999999,0.32422222222222224,7.077777777777778,2.1830020562028785,240.68888888888887,16.39,,,17.2,NGTS_Clay_ONSB06
8.669999999999998,0.35890000000000005,7.1,1.9782669267205348,272.67999999999995,17.4,0.9,,,NGTS_Clay_ONSB06
8.78,0.3688888888888889,7,1.8975903614457834,272,17.58,,,22.6,NGTS_Clay_ONSB06
5.65,0.276,5.7299999999999995,2.076086956521739,197.21,15.99,0.5,,,NGTS_Clay_ONSB07
5.779999999999999,0.28177777777777774,5.511111111,1.9558359621451107,200.46666666666667,15.84,,,13.5,NGTS_Clay_ONSB07
6.269999999999999,0.30219999999999997,5.92,1.9589675711449372,213.35999999999999,15.99,1.2,1.4945652173913044,,NGTS_Clay_ONSB07
6.369999999999999,0.3027,5.8999999999999995,1.9491245457548723,215.58,16,,,16.1,NGTS_Clay_ONSB07
7.269999999999999,0.32720000000000005,7.109999999999999,2.172982885085574,239.13000000000002,16.21,1.2,1.2698412698412698,,NGTS_Clay_ONSB07
7.37,0.32259999999999994,6.82,2.114073155610664,246.85,16.33,,,17.1,NGTS_Clay_ONSB07
8.669999999999998,0.35890000000000005,7.1,1.9782669267205348,272.67999999999995,17.19,1,,,NGTS_Clay_ONSB07
8.78,0.3688888888888889,7,1.8975903614457834,272,17.25,,,21.4,NGTS_Clay_ONSB07
6.6,0.29400000000000004,5.355555555555555,1.8216175359032496,218.42222222222222,15.71,0.6,1.0204081632653061,,NGTS_Clay_ONSB08
6.7299999999999995,0.3096,5.0699999999999985,1.637596899224806,223.82,16.69,,,16,NGTS_Clay_ONSB08
9.59,0.39059999999999995,7.19,1.8407578084997445,300.68999999999994,17.65,1.3,1.1475409836065573,,NGTS_Clay_ONSB08
9.7,0.394,6.655555555555555,1.6892272983643541,298.94444444444446,17.84,,,22.8,NGTS_Clay_ONSB08
8.669999999999998,0.35890000000000005,7.1,1.9782669267205348,272.67999999999995,17.48,1.1,,,NGTS_Clay_ONSB09
8.78,0.3688888888888889,7,1.8975903614457834,272,17.42,,,21.4,NGTS_Clay_ONSB09
9.629999999999999,0.3933,6.94,1.7645563183320623,298.63,17.92,2,1.4681892332789561,,NGTS_Clay_ONSB09
9.73,0.39319999999999994,6.74,1.7141403865717195,301.18,17.85,,,24.7,NGTS_Clay_ONSB09
10.57,0.4534000000000001,8.170000000000002,1.8019408910454344,321.44,17.92,1,,,NGTS_Clay_ONSB09
10.68,0.44222222222222224,9.033333333333335,2.042713567839196,322.79999999999995,17.84,,,25.6,NGTS_Clay_ONSB09
5.67,0.27649999999999997,5.71,2.0650994575045214,198.24,16.1,0.6,,,NGTS_Clay_ONSB10
5.779999999999999,0.28177777777777774,5.511111111,1.9558359621451107,200.46666666666667,16,,,12.5,NGTS_Clay_ONSB10
8.669999999999998,0.35890000000000005,7.1,1.9782669267205348,272.67999999999995,17.86,1,,,NGTS_Clay_ONSB10
8.78,0.3688888888888889,7,1.8975903614457834,272,17.62,,,19.8,NGTS_Clay_ONSB10
5.869999999999999,0.2823,5.38,1.9057739992915337,201.79,16.26,,,12.7,NGTS_Clay_ONSB11
6.1899999999999995,0.2972,6.070000000000001,2.0423956931359353,210.31,16.22,1.6,2.209944751381215,,NGTS_Clay_ONSB11
6.300000000000001,0.3034444444444444,5.833333333333334,1.922372757231784,214.74444444444444,16.14,,,15.4,NGTS_Clay_ONSB11
8.93,0.37960000000000005,6.140000000000001,1.617492096944152,270.67,17.34,1.3,1.1565836298932384,,NGTS_Clay_ONSB11
9.06,0.3896666666666666,7.522222222222222,1.9304248645566013,274.9666666666667,17.6,,,21.6,NGTS_Clay_ONSB11
5.98,0.2797777777777778,5.511111111111111,1.9698173153296268,201.87777777777777,16.2,0.9,1.440922190201729,,NGTS_Clay_ONSB12
6.17,0.29510000000000003,6.1400000000000015,2.080650626906134,209.47000000000003,16.2,0.7,1.5277777777777777,,NGTS_Clay_ONSB12
6.279999999999999,0.303,5.888888888888889,1.9435276861019437,213.47777777777776,16.14,,,16.3,NGTS_Clay_ONSB12
9.25,0.3961,7.69,1.9414289320878564,289.71,17.55,1.7,1.2991452991452992,,NGTS_Clay_ONSB12
9.37,0.3962,7.279999999999999,1.8374558303886925,292.59000000000003,17.72,,,21.2,NGTS_Clay_ONSB12
6.1,0.28522222222222227,6.144444444444444,2.1542656797818456,204.7111111111111,16.03,,,13.8,NGTS_Clay_ONSB13
7.04,0.308,5.977777777777778,1.940836940836941,232.46666666666664,16.73,,,16.3,NGTS_Clay_ONSB13
12.339999999999998,0.41797499999999993,11.183333333333335,2.675598620332158,357.2916666666667,17.64,1.7,1.240506329113924,,NGTS_Clay_ONSB14
11.7,0.4723333333333334,9.044444444444444,1.914843566219713,357.1888888888889,16.93,,,26.3,NGTS_Clay_ONSB21
11.83,0.4747,7.92,1.6684221613650727,365.51,17.47,1.5,1.25,,NGTS_Clay_ONSB21
12.829999999999998,0.49939999999999996,9.55,1.9122947537044455,372.42,17.53,2.7,1.2804878048780488,,NGTS_Clay_ONSB21
12.9,0.49599999999999994,9.622222222222222,1.9399641577060933,378.5333333333333,17.41,,,33.5,NGTS_Clay_ONSB21
13.75,0.5106,7.839999999999999,1.5354484919702307,413.52,15.86,,,36.3,NGTS_Clay_ONSB21
13.830000000000002,0.5133000000000001,7.739999999999999,1.5078901227352421,415.62,16.25,4.3,1.9438202247191012,,NGTS_Clay_ONSB21
5.7,0.27655555555555555,5.633333333333334,2.0369626355966255,199.07777777777775,15.92,1,1.3243243243243243,,NGTS_Clay_ONSB22
5.779999999999999,0.28177777777777774,5.511111111,1.9558359621451107,200.46666666666667,15.75,,,12.9,NGTS_Clay_ONSB22
6.8999999999999995,0.3178888888888889,6.477777777777778,2.0377490387976227,227.0888888888889,16.08,1.2,1.4090909090909092,,NGTS_Clay_ONSB22
6.98,0.3164444444444445,6.533333333333334,2.064606741573034,233.54444444444445,15.93,,,16,NGTS_Clay_ONSB22
7.530000000000001,0.3302,6.5200000000000005,1.9745608721986676,252.82999999999998,15.99,,,17,NGTS_Clay_ONSB22
7.65,0.33120000000000005,6.639999999999999,2.0048309178743953,251.92000000000002,15.45,1.4,1.3877551020408163,,NGTS_Clay_ONSB22
13.7,0.5107777777777778,7.888888888888889,1.5444855340439418,414.4333333333333,17.74,2.9,1.4431818181818181,,NGTS_Clay_ONSB22
13.78,0.512888889,7.788888888888888,1.5186308492201037,413.7,17.54,,,32.2,NGTS_Clay_ONSB22
14.45,0.5245,8.190000000000001,1.5614871306005722,447.30999999999995,16.15,3.5,1.7849462365591398,,NGTS_Clay_ONSB22
14.58,0.5262222222222221,8.3,1.5772804054054057,440.4666666666667,16.16,,,42,NGTS_Clay_ONSB22
15.279999999999998,0.5935555555555555,11.68888888888889,1.969299887682516,461.0888888888889,15.8,,,38.6,NGTS_Clay_ONSB22
15.35,0.602,11.489999999999998,1.9086378737541525,469.21000000000004,15.66,3,1.4747474747474747,,NGTS_Clay_ONSB22
