sampling_name (-),sampling_depth (m),cptu_depth (m),cptu_corr_depth (m),cptu_qc (MPa),cptu_fs (kPa),cptu_u2 (kPa),cptu_Rf (%),cptu_SBT,sampling_unitweight (kN/m3)
Project_Norway_N11036,4.43,4.430000000000001,4.430000000000001,0.5377500000000001,5.383333333333333,352.90000000000003,0.91827,3.8333333333333335,19.75
Project_Norway_N11036,7.5,7.5,7.5,0.5155800000000001,2.2600000000000002,424.9,0.390734,1.0,19.7
Project_Norway_N11036,10.37,10.37,10.37,0.6114666666666666,4.633333333333333,521.2333333333332,0.6746283333333333,4.0,19.33
Project_Norway_N11036,13.53,13.53,13.53,0.786,7.366666666666667,556.1833333333333,0.852065,4.0,19.61
Project_Norway_N11036,16.56,16.560000000000002,16.560000000000002,0.85322,7.24,634.52,0.764968,4.0,19.46
Project_Norway_N11036,19.5,19.5,19.5,0.8301000000000001,11.0,896.8399999999999,1.140678,4.0,19.91
Project_Norway_N11036,4.33,4.33,4.33,0.5775166666666666,5.333333333333333,365.75,0.8437966666666666,4.0,19.2
Project_Norway_N11036,7.4,7.4,7.4,0.49528,2.38,409.93999999999994,0.42757200000000006,1.0,19.2
Project_Norway_N11036,10.47,10.469999999999999,10.469999999999999,0.6648,3.7333333333333343,530.1666666666666,0.49757333333333337,3.5,19.1
Project_Norway_N11036,13.42,13.419999999999998,13.419999999999998,0.7619399999999998,6.08,551.7,0.723834,4.0,19.7
Project_Norway_N11036,16.46,16.46,16.46,0.81824,5.68,636.74,0.621452,4.0,19.5
Project_Norway_N11036,19.47,19.47,19.47,0.9115833333333333,10.083333333333334,915.4666666666667,0.9837300000000001,4.0,19.5
Project_Norway_N11045,6.31,6.31,6.31,0.44060000000000005,14.583333333333334,385.79999999999995,2.925906666666666,3.0,18.34
Project_Norway_N11045,9.52,9.52,9.52,0.5525599999999999,14.080000000000002,410.6,2.292724,3.0,18.93
Project_Norway_N11045,12.5,12.499999999999998,12.499999999999998,0.63472,16.4,569.78,2.277766,3.0,19.54
Project_Norway_N11045,15.3,15.3,15.3,0.66968,13.0,639.74,1.698358,3.0,19.63
Project_Norway_N11045,18.33,18.33,18.33,0.8054166666666668,12.083333333333334,759.9833333333335,1.3085966666666666,4.0,19.67
Project_Norway_N11045,21.5,21.5,21.5,0.9502600000000001,20.119999999999997,895.0200000000001,1.854282,4.0,20.13
Project_Norway_N11045,24.33,24.330000000000002,24.330000000000002,1.04385,15.216666666666667,1015.5500000000001,1.2732750000000002,4.0,19.19
Project_Norway_N11045,9.43,9.43,9.43,0.5560499999999999,16.45,408.0,2.663495,3.0,18.8
Project_Norway_N11045,12.43,12.43,12.43,0.6388666666666666,17.0,574.3833333333333,2.3456249999999996,3.0,19.3
Project_Norway_N11045,15.42,15.419999999999998,15.419999999999998,0.6778,12.4,642.04,1.602028,3.0,19.2
Project_Norway_N11045,18.58,18.580000000000002,18.580000000000002,0.87256,15.3,812.9599999999999,1.539642,4.0,19.4
Project_Norway_N11045,21.43,21.429999999999996,21.429999999999996,0.9790833333333334,23.266666666666666,899.3833333333333,2.087153333333333,3.8333333333333335,20.5
Project_Norway_N11045,24.43,24.429999999999996,24.429999999999996,1.0502666666666665,18.916666666666668,1026.8166666666666,1.5706316666666666,4.0,19.4
Project_Norway_N11045,6.4,6.4,6.4,0.44308000000000003,14.459999999999999,387.4,2.885896,3.0,18.9
Project_Norway_N14022,6.07,6.069999999999999,6.069999999999999,0.43295,12.966666666666667,388.36666666666673,2.640785,3.0,19.4
Project_Norway_N14022,6.07,6.069999999999999,6.069999999999999,0.43295,12.966666666666667,388.36666666666673,2.640785,3.0,19.2
Project_Norway_N14022,6.45,6.45,6.45,0.4603,14.066666666666665,381.11666666666673,2.713135,3.0,18.9
Project_Norway_N14022,9.85,9.85,9.85,0.5533666666666667,12.566666666666668,419.51666666666665,2.040036666666667,3.0,19.3
Project_Norway_N14022,10.36,10.36,10.36,0.5886199999999999,13.039999999999997,454.5,1.985632,3.0,18.8
Project_Norway_N14022,14.73,14.730000000000002,14.730000000000002,0.6957666666666666,12.916666666666666,648.7500000000001,1.6289916666666666,3.3333333333333335,19.2
Project_Norway_N14022,15.54,15.540000000000001,15.540000000000001,0.67564,12.66,645.72,1.6387880000000004,3.0,19.8
Project_Norway_N14022,19.6,19.6,19.6,0.88484,15.0,826.2199999999999,1.4869379999999999,4.0,19.1
Project_Norway_N14022,20.03,20.029999999999998,20.029999999999998,0.9160333333333334,17.683333333333334,845.9333333333333,1.695335,4.0,19.5
Project_Norway_N14022,6.18,6.18,6.18,0.44986,13.34,387.42,2.625966,3.0,19.5
Project_Norway_N14022,6.18,6.18,6.18,0.44986,13.34,387.42,2.625966,3.0,19.5
Project_Norway_N14022,10.5,10.5,10.5,0.5637800000000001,13.280000000000001,465.76000000000005,2.0957679999999996,3.0,18.8
Project_Norway_N14022,10.45,10.450000000000001,10.450000000000001,0.5722833333333333,13.533333333333333,460.7333333333333,2.1101033333333334,3.0,18.8
Project_Norway_N14022,14.87,14.87,14.87,0.72735,13.783333333333333,661.7166666666666,1.6673983333333335,3.3333333333333335,19.3
Project_Norway_N14022,14.87,14.87,14.87,0.72735,13.783333333333333,661.7166666666666,1.6673983333333335,3.3333333333333335,19.4
Project_Norway_N14022,20.13,20.13,20.13,0.9101666666666667,15.9,845.1,1.5334216666666667,4.0,19.2
Project_Norway_N14022,20.13,20.13,20.13,0.9101666666666667,15.9,845.1,1.5334216666666667,4.0,19.4
